FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TOR_estimatedOffensiveRating,TOR_offensiveRating,TOR_estimatedDefensiveRating,TOR_defensiveRating,TOR_estimatedNetRating,TOR_netRating,TOR_assistPercentage,TOR_assistToTurnover,TOR_assistRatio,TOR_offensiveReboundPercentage,TOR_defensiveReboundPercentage,TOR_reboundPercentage,TOR_estimatedTeamTurnoverPercentage,TOR_turnoverRatio,TOR_effectiveFieldGoalPercentage,TOR_trueShootingPercentage,TOR_usagePercentage,TOR_estimatedUsagePercentage,TOR_estimatedPace,TOR_pace,TOR_pacePer40,TOR_possessions,TOR_PIE,OPP_estimatedOffensiveRating,OPP_offensiveRating,OPP_estimatedDefensiveRating,OPP_defensiveRating,OPP_estimatedNetRating,OPP_netRating,OPP_assistPercentage,OPP_assistToTurnover,OPP_assistRatio,OPP_offensiveReboundPercentage,OPP_defensiveReboundPercentage,OPP_reboundPercentage,OPP_estimatedTeamTurnoverPercentage,OPP_turnoverRatio,OPP_effectiveFieldGoalPercentage,OPP_trueShootingPercentage,OPP_usagePercentage,OPP_estimatedUsagePercentage,OPP_estimatedPace,OPP_pace,OPP_pacePer40,OPP_possessions,OPP_PIE
35,87,0.402,9,31,0.29,16,23,0.696,12,28,40,22,7,3,11,14,95,98.8,101.1,125.6,129.3,-26.8,-28.3,0.629,2.0,16.9,0.315,0.63,0.46,11.444,11.7,0.454,0.489,1.0,0.2,95.42,93.0,77.5,94.0,0.377,125.6,129.3,98.8,101.1,26.8,28.3,0.75,3.27,24.9,0.37,0.685,0.54,11.613,12.0,0.598,0.609,1.0,0.197,95.42,93.0,77.5,92.0,0.623
40,95,0.421,10,33,0.303,17,19,0.895,16,25,41,24,14,8,11,17,107,107.7,110.3,101.9,106.1,5.8,4.2,0.6,2.0,17.2,0.327,0.583,0.447,12.077,12.4,0.474,0.518,1.0,0.196,100.7,97.5,81.25,97.0,0.538,101.9,106.1,107.7,110.3,-5.8,-4.2,0.579,1.0,16.2,0.417,0.673,0.553,21.56,22.4,0.535,0.565,1.0,0.198,100.7,97.5,81.25,98.0,0.462
43,81,0.531,17,33,0.515,20,24,0.833,7,34,41,30,5,3,9,17,123,128.7,126.8,117.2,121.9,11.5,4.9,0.698,2.73,22.6,0.231,0.735,0.511,11.511,11.3,0.636,0.672,1.0,0.197,97.68,96.5,80.42,97.0,0.556,117.2,121.9,128.7,126.8,-11.5,-4.9,0.614,2.7,19.9,0.265,0.769,0.489,10.02,10.4,0.578,0.592,1.0,0.199,97.68,96.5,80.42,96.0,0.444
40,84,0.476,10,31,0.323,10,15,0.667,10,28,38,27,4,6,18,12,100,101.4,103.1,138.4,140.8,-37.0,-37.7,0.675,1.5,19.9,0.277,0.569,0.429,18.256,18.6,0.536,0.552,1.0,0.201,99.16,97.5,81.25,97.0,0.356,138.4,140.8,101.4,103.1,37.0,37.7,0.679,5.14,23.6,0.431,0.723,0.571,7.02,7.1,0.601,0.629,1.0,0.2,99.16,97.5,81.25,98.0,0.644
48,101,0.475,14,35,0.4,17,21,0.81,11,37,48,38,6,5,11,16,127,114.2,118.7,122.1,128.6,-8.0,-9.9,0.792,3.17,23.7,0.352,0.655,0.509,10.787,11.2,0.545,0.576,1.0,0.2,91.76,87.72,73.1,107.0,0.485,122.1,128.6,114.2,118.7,8.0,9.9,0.769,3.64,24.3,0.345,0.648,0.491,9.953,10.5,0.577,0.595,1.0,0.196,91.76,87.72,73.1,105.0,0.515
40,91,0.44,11,33,0.333,15,20,0.75,8,29,37,17,11,5,14,18,106,100.2,100.0,124.4,127.4,-24.3,-27.4,0.425,1.21,13.0,0.17,0.744,0.413,13.233,13.2,0.5,0.531,1.0,0.199,107.14,106.0,88.33,106.0,0.36,124.4,127.4,100.2,100.0,24.3,27.4,0.545,2.0,20.6,0.256,0.83,0.587,13.827,14.2,0.651,0.672,1.0,0.197,107.14,106.0,88.33,106.0,0.64
43,83,0.518,14,29,0.483,18,20,0.9,9,29,38,34,10,4,19,20,118,114.8,116.8,106.1,108.1,8.7,8.8,0.791,1.7,23.3,0.357,0.8,0.573,19.455,19.8,0.602,0.643,1.0,0.199,101.84,100.0,83.33,101.0,0.558,106.1,108.1,114.8,116.8,-8.7,-8.8,0.553,1.05,16.4,0.2,0.643,0.427,19.826,20.2,0.58,0.616,1.0,0.195,101.84,100.0,83.33,99.0,0.442
41,89,0.461,15,31,0.484,28,32,0.875,15,31,46,29,12,3,14,30,125,122.5,121.4,118.2,123.5,4.3,-2.2,0.707,2.07,19.9,0.347,0.544,0.453,13.715,13.6,0.545,0.606,1.0,0.2,104.34,102.5,85.42,103.0,0.502,118.2,123.5,122.5,121.4,-4.3,2.2,0.614,1.93,17.6,0.456,0.653,0.547,13.133,13.7,0.495,0.56,1.0,0.199,104.34,102.5,85.42,102.0,0.498
44,96,0.458,6,32,0.188,13,22,0.591,15,30,45,26,6,3,11,18,107,105.2,105.9,121.5,125.7,-16.2,-19.8,0.591,2.36,18.2,0.31,0.66,0.467,10.818,10.9,0.49,0.506,1.0,0.201,103.12,101.0,84.17,101.0,0.399,121.5,125.7,105.2,105.9,16.2,19.8,0.604,2.64,19.9,0.34,0.69,0.533,10.52,10.9,0.553,0.602,1.0,0.196,103.12,101.0,84.17,101.0,0.601
35,79,0.443,8,23,0.348,22,23,0.957,12,35,47,31,7,8,17,14,100,106.2,105.3,111.0,113.7,-4.8,-8.4,0.886,1.82,22.6,0.318,0.625,0.49,18.062,17.9,0.494,0.561,1.0,0.202,95.7,95.0,79.17,95.0,0.508,111.0,113.7,106.2,105.3,4.8,8.4,0.682,1.88,20.5,0.375,0.682,0.51,16.447,16.8,0.532,0.538,1.0,0.194,95.7,95.0,79.17,95.0,0.492
