FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TOR_estimatedOffensiveRating,TOR_offensiveRating,TOR_estimatedDefensiveRating,TOR_defensiveRating,TOR_estimatedNetRating,TOR_netRating,TOR_assistPercentage,TOR_assistToTurnover,TOR_assistRatio,TOR_offensiveReboundPercentage,TOR_defensiveReboundPercentage,TOR_reboundPercentage,TOR_estimatedTeamTurnoverPercentage,TOR_turnoverRatio,TOR_effectiveFieldGoalPercentage,TOR_trueShootingPercentage,TOR_usagePercentage,TOR_estimatedUsagePercentage,TOR_estimatedPace,TOR_pace,TOR_pacePer40,TOR_possessions,TOR_PIE,OPP_estimatedOffensiveRating,OPP_offensiveRating,OPP_estimatedDefensiveRating,OPP_defensiveRating,OPP_estimatedNetRating,OPP_netRating,OPP_assistPercentage,OPP_assistToTurnover,OPP_assistRatio,OPP_offensiveReboundPercentage,OPP_defensiveReboundPercentage,OPP_reboundPercentage,OPP_estimatedTeamTurnoverPercentage,OPP_turnoverRatio,OPP_effectiveFieldGoalPercentage,OPP_trueShootingPercentage,OPP_usagePercentage,OPP_estimatedUsagePercentage,OPP_estimatedPace,OPP_pace,OPP_pacePer40,OPP_possessions,OPP_PIE
44,100,0.44,6,32,0.188,12,17,0.706,19,29,48,32,7,6,12,19,106,105.5,109.3,120.2,122.7,-14.7,-13.4,0.727,2.67,21.1,0.417,0.696,0.538,11.943,12.4,0.47,0.493,1.0,0.199,99.76,97.0,80.83,97.0,0.445,120.2,122.7,105.5,109.3,14.7,13.4,0.667,2.31,21.4,0.304,0.583,0.462,13.126,13.4,0.589,0.613,1.0,0.196,99.76,97.0,80.83,97.0,0.555
42,93,0.452,10,27,0.37,18,21,0.857,15,34,49,25,7,5,9,22,112,115.2,115.5,102.8,109.4,12.4,6.1,0.595,2.5,18.2,0.302,0.649,0.482,10.284,10.3,0.505,0.548,1.0,0.194,99.68,96.5,80.42,97.0,0.519,102.8,109.4,115.2,115.5,-12.4,-6.1,0.658,2.5,18.0,0.351,0.698,0.518,9.792,10.4,0.441,0.504,1.0,0.2,99.68,96.5,80.42,96.0,0.481
39,101,0.386,13,36,0.361,12,19,0.632,15,31,46,27,11,3,7,21,103,101.6,104.0,112.3,115.0,-10.6,-11.0,0.692,3.86,18.8,0.27,0.647,0.439,6.906,7.1,0.45,0.471,1.0,0.199,101.9,99.5,82.92,99.0,0.413,112.3,115.0,101.6,104.0,10.6,11.0,0.65,1.73,18.4,0.353,0.73,0.561,14.643,15.0,0.522,0.572,1.0,0.199,101.9,99.5,82.92,100.0,0.587
37,89,0.416,8,32,0.25,20,29,0.69,17,33,50,17,9,3,12,11,102,105.4,103.0,103.3,106.1,2.1,-3.0,0.459,1.42,13.0,0.304,0.692,0.491,12.402,12.1,0.461,0.501,1.0,0.2,99.2,99.0,82.5,99.0,0.474,103.3,106.1,105.4,103.0,-2.1,3.0,0.644,2.07,20.3,0.308,0.696,0.509,13.774,14.1,0.515,0.527,1.0,0.199,99.2,99.0,82.5,99.0,0.526
44,83,0.53,13,39,0.333,20,27,0.741,13,27,40,32,8,6,14,14,121,126.2,130.1,114.5,116.1,11.7,14.0,0.727,2.29,22.7,0.318,0.69,0.5,14.602,15.1,0.608,0.638,1.0,0.195,95.12,93.0,77.5,93.0,0.588,114.5,116.1,126.2,130.1,-11.7,-14.0,0.476,1.54,16.2,0.31,0.682,0.5,13.777,14.0,0.585,0.598,1.0,0.199,95.12,93.0,77.5,93.0,0.412
48,90,0.533,11,27,0.407,25,30,0.833,13,33,46,26,7,3,17,15,132,120.9,123.4,121.3,123.6,-0.4,-0.2,0.542,1.37,17.5,0.386,0.81,0.593,17.399,17.8,0.594,0.64,1.0,0.195,108.62,106.5,88.75,107.0,0.505,121.3,123.6,120.9,123.4,0.4,0.2,0.66,2.2,22.6,0.19,0.614,0.407,13.884,14.2,0.648,0.668,1.0,0.198,108.62,106.5,88.75,106.0,0.495
38,75,0.507,14,28,0.5,17,22,0.773,5,33,38,29,6,6,23,20,107,103.2,104.9,118.0,124.8,-14.8,-19.9,0.763,1.21,21.1,0.263,0.636,0.484,23.148,23.5,0.6,0.632,1.0,0.201,105.24,101.5,84.58,102.0,0.446,118.0,124.8,103.2,104.9,14.8,19.9,0.62,2.38,20.3,0.364,0.737,0.516,12.172,12.9,0.56,0.579,1.0,0.195,105.24,101.5,84.58,101.0,0.554
55,102,0.539,14,36,0.389,18,29,0.621,12,35,47,44,10,5,7,23,142,128.2,134.0,104.2,107.6,24.0,26.3,0.8,5.5,26.4,0.34,0.776,0.549,7.223,7.5,0.608,0.619,1.0,0.196,109.58,105.5,87.92,106.0,0.634,104.2,107.6,128.2,134.0,-24.0,-26.3,0.641,1.47,17.8,0.224,0.66,0.451,15.683,16.2,0.524,0.574,1.0,0.198,109.58,105.5,87.92,105.0,0.366
42,87,0.483,12,33,0.364,9,14,0.643,5,36,41,29,4,1,13,11,105,103.8,106.1,109.1,110.2,-5.3,-4.1,0.69,2.23,21.5,0.196,0.8,0.51,12.851,13.1,0.552,0.564,1.0,0.198,100.06,98.5,82.08,99.0,0.486,109.1,110.2,103.8,106.1,5.3,4.1,0.69,2.64,21.3,0.2,0.804,0.49,11.116,11.2,0.543,0.563,1.0,0.198,100.06,98.5,82.08,98.0,0.514
38,96,0.396,9,33,0.273,27,31,0.871,26,29,55,28,10,8,14,19,112,114.7,114.3,130.3,129.3,-15.6,-15.0,0.737,2.0,18.5,0.45,0.762,0.578,14.338,14.3,0.443,0.511,1.0,0.201,97.94,98.5,82.08,98.0,0.453,130.3,129.3,114.7,114.3,15.6,15.0,0.568,1.92,18.9,0.238,0.55,0.422,13.233,13.1,0.635,0.679,1.0,0.2,97.94,98.5,82.08,99.0,0.547
45,90,0.5,4,20,0.2,17,25,0.68,16,32,48,28,11,4,16,13,111,106.7,107.8,103.6,105.9,3.1,1.8,0.622,1.47,18.9,0.373,0.791,0.564,18.269,18.4,0.522,0.55,1.0,0.192,103.64,102.0,85.0,103.0,0.521,103.6,105.9,106.7,107.8,-3.1,-1.8,0.744,1.45,22.3,0.209,0.627,0.436,21.301,21.8,0.583,0.599,1.0,0.198,103.64,102.0,85.0,101.0,0.479
35,91,0.385,10,37,0.27,14,16,0.875,7,30,37,25,8,1,8,14,94,94.0,95.9,117.3,121.9,-23.4,-26.0,0.714,2.78,18.9,0.224,0.814,0.475,8.996,9.2,0.44,0.479,1.0,0.198,99.88,97.0,80.83,98.0,0.395,117.3,121.9,94.0,95.9,23.4,26.0,0.638,2.31,22.3,0.186,0.776,0.525,13.037,13.5,0.634,0.638,1.0,0.197,99.88,97.0,80.83,96.0,0.605
49,99,0.495,11,36,0.306,18,27,0.667,15,35,50,27,10,4,11,25,127,117.7,122.1,107.8,109.4,10.0,12.7,0.551,2.25,18.0,0.345,0.776,0.548,11.123,11.5,0.551,0.573,1.0,0.197,107.76,105.0,87.5,104.0,0.556,107.8,109.4,117.7,122.1,-10.0,-12.7,0.625,1.56,18.0,0.224,0.655,0.452,14.864,15.1,0.577,0.594,1.0,0.197,107.76,105.0,87.5,106.0,0.444
44,97,0.454,19,48,0.396,16,26,0.615,13,34,47,29,12,6,14,15,123,111.4,113.9,105.7,106.4,5.6,7.5,0.659,1.93,19.0,0.316,0.74,0.514,13.582,13.9,0.552,0.567,1.0,0.199,99.7,98.26,81.89,108.0,0.512,105.7,106.4,111.4,113.9,-5.6,-7.5,0.625,1.76,20.2,0.26,0.684,0.486,15.494,15.6,0.552,0.57,1.0,0.2,99.7,98.26,81.89,109.0,0.488
38,79,0.481,10,28,0.357,13,19,0.684,9,32,41,30,4,3,19,20,99,101.7,103.1,111.8,117.5,-10.1,-14.4,0.789,1.58,22.0,0.233,0.642,0.458,19.515,19.8,0.544,0.567,1.0,0.197,99.68,96.5,80.42,96.0,0.459,111.8,117.5,101.7,103.1,10.1,14.4,0.5,1.5,15.2,0.358,0.767,0.542,13.725,14.4,0.505,0.553,1.0,0.193,99.68,96.5,80.42,97.0,0.541
51,91,0.56,15,38,0.395,13,14,0.929,15,35,50,35,7,6,16,25,130,129.8,134.0,113.6,113.3,16.2,20.8,0.686,1.94,23.3,0.425,0.783,0.616,17.971,18.6,0.643,0.669,1.0,0.193,98.94,97.5,81.25,97.0,0.61,113.6,113.3,129.8,134.0,-16.2,-20.8,0.543,1.58,15.4,0.217,0.575,0.384,12.28,12.2,0.546,0.599,1.0,0.201,98.94,97.5,81.25,98.0,0.39
38,94,0.404,4,29,0.138,11,15,0.733,14,33,47,19,10,4,11,17,91,92.3,97.8,104.7,106.5,-12.4,-8.6,0.5,1.58,14.4,0.333,0.673,0.486,12.17,12.9,0.426,0.452,1.0,0.195,96.6,93.0,77.5,93.0,0.453,104.7,106.5,92.3,97.8,12.4,8.6,0.526,1.25,15.7,0.327,0.667,0.514,16.913,17.2,0.512,0.54,1.0,0.195,96.6,93.0,77.5,93.0,0.547
38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,112.2,116.3,117.2,121.3,-5.0,-5.0,0.737,2.15,20.5,0.34,0.667,0.495,13.633,14.1,0.534,0.561,1.0,0.199,96.3,93.0,77.5,92.0,0.446,117.2,121.3,112.2,116.3,5.0,5.0,0.581,2.27,19.0,0.333,0.66,0.505,11.312,11.7,0.558,0.598,1.0,0.194,96.3,93.0,77.5,94.0,0.554
39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,21,29,103,93.6,94.5,91.8,95.4,1.9,-0.9,0.641,1.09,17.5,0.204,0.701,0.491,20.909,21.1,0.518,0.542,1.0,0.193,101.13,98.72,82.26,109.0,0.517,91.8,95.4,93.6,94.5,-1.9,0.9,0.486,1.06,12.3,0.299,0.796,0.509,15.002,15.6,0.414,0.467,1.0,0.196,101.13,98.72,82.26,109.0,0.483
36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,94.1,96.0,87.3,93.1,6.8,3.0,0.75,1.93,19.6,0.207,0.632,0.437,13.587,13.9,0.478,0.5,1.0,0.2,105.36,101.0,84.17,101.0,0.523,87.3,93.1,94.1,96.0,-6.8,-3.0,0.588,1.43,13.9,0.368,0.793,0.563,13.001,13.9,0.38,0.429,1.0,0.201,105.36,101.0,84.17,101.0,0.477
